n,question,run_1,run_2,run_3,consistency,modal_query_id,modal_nl_question
1605,Bhubaneswar me kitne kaam abandoned hain 2024-25 me?,STS-003,STS-003,STS-003,3/3,STS-003,How many activities in Bhubaneswar are in Activity Approved status for 2023-2024?
1606,Which GPs in Khordha have the highest number of abandoned activities in 2024-2025?,STS-004,STS-004,STS-004,3/3,STS-004,Which GPs in Khordha have the highest number of abandoned activities in 2024-2025 (1)?
1607,Bhubaneswar me kitne percent taken-up kaam complete hue 2024-25 me?,STS-006,STS-006,STS-006,3/3,STS-006,What percentage of taken-up activities in Bhubaneswar are completed in 2024-2025?
1608,Which blocks in Khordha have the highest activity completion rate for 2024-2025?,STS-007,STS-007,STS-007,3/3,STS-007,Which blocks in Khordha have the highest activity completion rate for 2024-2025 (1)?
1609,Bhubaneswar ke kaun se GP me ek bhi kaam complete nahi hua 2024-25 me?,STS-009,STS-009,STS-009,3/3,STS-009,Which GPs in Bhubaneswar have zero completed activities in 2024-2025?
1610,Bhubaneswar me kitne kaam Under Approval me atke hue hain 2024-25 me?,STS-010,STS-010,STS-010,3/3,STS-010,How many activities in Bhubaneswar are stuck in Under Approval status for 2024-2025?
1611,2024-2025 ରେ ଆରମ୍ଭ ହୋଇଥିବା କେତେ କାର୍ଯ୍ୟ ସମ୍ପୂର୍ଣ୍ଣ ହୋଇଛି?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,3/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1612,What is the completion rate under each theme and focus area in 2024-2025?,IMP-005,IMP-005,IMP-005,3/3,IMP-005,What is the completion rate under each theme and focus area in 2024-2025?
1613,Which focus area has the lowest completion rate in 2024-25?,CLARIFY:missing_parameter,CLARIFY:missing_parameter,CLARIFY:missing_parameter,3/3,CLARIFY:missing_parameter,(pipeline asked a clarifying question)
1614,Which high-expenditure activities have not yet started in 2024-2025?,CLARIFY:missing_parameter,CLARIFY:missing_parameter,CLARIFY:missing_parameter,3/3,CLARIFY:missing_parameter,(pipeline asked a clarifying question)
1615,Kaun si activities Work Ongoing dikha rahi hain lekin poora approved paisa kharch ho gaya 2024-25 me?,IMP-018,IMP-018,IMP-018,3/3,IMP-018,Which activities are marked Work Ongoing despite expenditure reaching the approved cost in 2024-2025 (10)?
1616,2024-2025 ରେ କେଉଁ ଫୋକସ ଏରିଆରେ ସବୁଠାରୁ ଅଧିକ ଚାଲୁଥିବା କାର୍ଯ୍ୟ ଅଛି?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,3/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1617,Andhrua me kitne planned kaam abhi tak shuru hi nahi hue 2024-25 me?,IMP-003,IMP-003,IMP-003,3/3,IMP-003,How many planned activities have not yet been initiated in Andhrua in 2024-2025?
1618,Which themes have the largest implementation gap between planned and initiated in 2024-2025?,IMP-007,IMP-007,IMP-007,3/3,IMP-007,Which themes have the largest implementation gap (planned versus initiated) in 2024-2025 (1)?
1619,What physical-progress evidence has been recorded for activity 125711758?,PHY-001,PHY-001,PHY-001,3/3,PHY-001,What physical-progress evidence has been recorded for activity 125711758?
1620,2024-2025 re Bhubaneswar block re kete kama ra physical progress evidence achi?,PHY-004,PHY-004,PHY-004,3/3,PHY-004,How many activities in Bhubaneswar have physical-progress evidence recorded in 2024-2025?
1621,What are the stage-wise completion dates for asset 509018477?,PHY-002,PHY-002,PHY-002,3/3,PHY-002,What are the stage-wise completion dates for asset a given Asset Code?
1622,Which assets in Attabira have not advanced a stage in the last 90 days?,PHY-005,PHY-005,PHY-005,3/3,PHY-005,Which assets in a given Block have not advanced a stage in the last a given Threshold days?
1623,2024-2025 re Bhubaneswar block re kete kama sarichi?,STS-006,STS-003,STS-003,2/3,STS-003,How many activities in Bhubaneswar are in Activity Approved status for 2023-2024?
1624,and for 2023-24?,STS-013,STS-013,STS-013,3/3,STS-013,What is the district-wise activity status summary for 2024-2025?
1625,How many activities in Bhubaneswar are under approval for 2024-25?,STS-010,STS-010,STS-010,3/3,STS-010,How many activities in Bhubaneswar are stuck in Under Approval status for 2024-2025?
1626,2023-24 me Bhubaneswar me kitni activities approved status me hain?,STS-003,STS-003,STS-003,3/3,STS-003,How many activities in Bhubaneswar are in Activity Approved status for 2023-2024?
1701,Which administratively approved activities in Bhubaneswar still have zero expenditure 90 days after sanction?,ALR-001,ALR-001,ALR-001,3/3,ALR-001,Which administratively approved activities in Bhubaneswar still have zero expenditure 90 days after sanction (10)?
1702,Khordha me kaun si activities ka kharcha admin approved cost se zyada ho gaya 2024-25 me?,ALR-002,ALR-002,ALR-002,3/3,ALR-002,Which activities in Khordha have expenditure exceeding their administratively approved cost in 2024-2025 (10)?
1703,Which activities in Khordha have a technically approved cost higher than the administratively approved cost in 2024-2025?,ALR-004,ALR-004,ALR-004,3/3,ALR-004,Which activities in Khordha have a technically approved cost higher than the administratively approved cost in 2024-2025 (10)?
1704,2024-2025 ରେ ଭୁବନେଶ୍ୱର ବ୍ଲକର କେଉଁ ଗ୍ରାମ ପଞ୍ଚାୟତରେ କୌଣସି କାର୍ଯ୍ୟ ହୋଇନାହିଁ?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,3/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1705,Khordha me kaun se GP ka 2024-25 me kisi bhi module me data entry nahi hua?,ALR-013,ALR-013,ALR-013,3/3,ALR-013,Which GPs in Khordha have no data entry for 2024-2025 in any module?
1706,Which activities approved more than 180 days ago in Bhubaneswar are still not started?,ALR-008,ALR-008,ALR-008,3/3,ALR-008,Which activities approved more than 180 days ago in Bhubaneswar are still not started (10)?
1707,Which blocks in Khordha are below 50 percent activity completion in 2024-2025?,ALR-011,ALR-011,ALR-011,3/3,ALR-011,Which blocks in Khordha are below 50 percent activity completion in 2024-2025?
1708,Khordha me kitni activities ka focus area record nahi hua 2024-25 me?,DQY-001,DQY-001,DQY-001,3/3,DQY-001,How many activities in Khordha have no focus area recorded for 2024-2025?
1709,Which activities in Bhubaneswar are marked completed or ongoing but have no progress evidence in 2024-2025?,DQY-006,DQY-006,DQY-006,3/3,DQY-006,Which activities in Bhubaneswar are marked completed or ongoing but have no progress evidence in 2024-2025 (10)?
1710,Which activities in Bhubaneswar report expenditure but have no payment vouchers in 2024-25?,DQY-011,DQY-011,DQY-011,3/3,DQY-011,Which activities in Bhubaneswar report expenditure but have no payment vouchers in 2024-2025 (10)?
1711,2024-2025 re Khordha re kete activity re funding scheme record hoini?,DQY-004,DQY-004,DQY-004,3/3,DQY-004,How many activities in Khordha have no funding scheme recorded for 2024-2025?
1712,Which suspended activities in Attabira have payment vouchers dated after suspension in 2025-26?,ALR-006,ALR-006,ALR-006,3/3,ALR-006,Which suspended activities in a given Block have payment vouchers dated after suspension in a given year?
1713,Which GPs in Khordha have a resource envelope allocation but no uploaded plan for 2025-26?,ALR-010,ALR-010,ALR-010,3/3,ALR-010,Which GPs in a given District have a resource envelope allocation but no uploaded plan for a given Plan Year?
1714,Which activities in Begunia have been ongoing longer than their planned duration in 2025-26?,ALR-007,ALR-007,ALR-007,3/3,ALR-007,Which activities in a given Block have been ongoing longer than their planned duration in a given year?
1715,How many beneficiary records in Andhrua are missing the village field for 2024-25?,DQY-005,DQY-005,DQY-005,3/3,DQY-005,How many beneficiary records in a given GP Name are missing the village field for a given Plan Year?
1801,What is the total administratively sanctioned amount for each GP in 2024-25?,SAN-003,SAN-003,SAN-003,3/3,SAN-003,What is the total administratively sanctioned amount for each GP in 2024-2025?
1802,How many activities in Andhrua received administrative approval in 2024-2025?,SAN-001,SAN-001,SAN-001,3/3,SAN-001,How many activities in Andhrua received administrative approval in 2024-2025?
1803,and in Ganjam?,SAN-001,SAN-001,SAN-001,3/3,SAN-001,How many activities in Andhrua received administrative approval in 2024-2025?
1804,2024-2025 re Khordha jillare block anusare prashasanika manjuri rashi kete?,SAN-004,SAN-004,SAN-004,3/3,SAN-004,What is the block-wise administratively sanctioned amount in Khordha in 2024-2025?
1805,How many activities in Bhubaneswar are still awaiting administrative approval in 2024-2025?,SAN-002,SAN-002,SAN-002,3/3,SAN-002,How many activities in Bhubaneswar are still awaiting administrative approval in 2024-2025?
1806,Bhubaneswar me kitne percent planned activities ko admin approval mila 2024-25 me?,SAN-007,SAN-007,SAN-007,3/3,SAN-007,What percentage of planned activities in Bhubaneswar have received administrative approval in 2024-2025?
1807,Khordha me kaun si activities ko sabse zyada admin sanction amount mila 2024-25 me?,SAN-011,SAN-011,SAN-011,3/3,SAN-011,Which activities in Khordha received the highest administratively sanctioned amounts in 2024-2025 (1)?
1808,"What are the administrative approval order number, date and issuing authority for activity 125711758?",SAN-005,SAN-005,SAN-005,3/3,SAN-005,"What are the administrative approval order number, date and issuing authority for activity 125711758?"
1809,2024-2025 ରେ ଆନ୍ଧ୍ରୁଆ ପାଇଁ ମୋଟ ପ୍ରଶାସନିକ ମଞ୍ଜୁରୀ ରାଶି କେତେ?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,3/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1810,How many administrative approvals in Khordha were issued in each quarter of 2024-25?,SAN-010,SAN-010,SAN-010,3/3,SAN-010,How many administrative approvals in Khordha were issued in each quarter of 2024-2025?
1811,only Khordha please,SAN-003,SAN-003,SAN-003,3/3,SAN-003,What is the total administratively sanctioned amount for each GP in 2024-2025?
1851,How many assets were created in each GP during 2024-2025?,AST-001,AST-001,AST-001,3/3,AST-001,How many assets were created in each GP during 2024-2025?
1852,2024-2025 ରେ ଭୁବନେଶ୍ୱର ବ୍ଲକରେ ସମ୍ପତ୍ତି ଶ୍ରେଣୀ ଅନୁସାରେ କେତେ ସମ୍ପତ୍ତି ସୃଷ୍ଟି ହୋଇଛି?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,AST-001,2/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1853,Bhubaneswar me 2024-25 me kitne immovable asset bane?,AST-006,AST-006,AST-006,3/3,AST-006,How many immovable-type assets were created in Bhubaneswar during 2024-2025?
1854,Which asset category received the highest expenditure in Khordha for 2024-25?,AST-007,AST-007,AST-007,3/3,AST-007,Which asset category received the highest expenditure in Khordha for 2024-2025 (1)?
1855,Bhubaneswar ke kaun se GP ne 2024-25 me koi asset nahi banaya?,AST-009,AST-009,AST-009,3/3,AST-009,Which GPs in Bhubaneswar created no assets in 2024-2025 (Khordha district)?
1856,How has the number of assets created per year in Bhubaneswar changed?,AST-012,AST-012,AST-012,3/3,AST-012,How has the number of assets created per year in Bhubaneswar changed?
1857,What is the average unit cost of tap connections across Khordha for 2025-26?,AST-010,AST-010,AST-010,3/3,AST-010,What is the average unit cost of a given Asset Sub Category across a given District for a given Plan Year?
1858,What are the unit count and unit cost of assets created under activity 125711758?,AST-005,AST-005,AST-005,3/3,AST-005,What are the unit count and unit cost of assets created under activity a given Activity Code?
1859,"Where are the assets under activity 125711758 located, and how many units at each location?",AST-004,AST-004,AST-004,3/3,AST-004,"Where are the assets under activity a given Activity Code located, and how many units at each location?"
1860,Bhubaneswar block ru?,CLARIFY:ambiguous_templates,AST-001,CLARIFY:ambiguous_templates,2/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1861,How many assets were created under the Self-sufficient Infrastructure in Village theme in Bhubaneswar for 2024-25?,AST-008,AST-008,AST-008,3/3,AST-008,How many assets were created under Theme 6 - Self-sufficient Infrastructure in Village in Bhubaneswar for 2024-2025?
1901,"Compare activity counts, expenditure and completion rates between Bhubaneswar and Barpali for 2024-25.",TRD-011,TRD-011,TRD-011,3/3,TRD-011,"Compare activity counts, expenditure and completion rates between Bhubaneswar and Barpali for 2024-2025."
1902,"Compare planned expenditure, actual expenditure and completion rate between Andhrua and Barimunda for 2024-2025.",TRD-010,TRD-010,TRD-010,3/3,TRD-010,"Compare planned expenditure, actual expenditure and completion rate between Andhrua and Barimunda for 2024-2025."
1903,How does Khordha compare with the state average on expenditure per GP and completion rate for 2024-25?,TRD-012,TRD-012,TRD-012,3/3,TRD-012,How does Khordha compare with the state average on expenditure per GP and completion rate for 2024-2025?
1904,Bhubaneswar ka total kharcha 2023-24 se 2024-25 me kitna badla?,TRD-004,TRD-004,TRD-004,3/3,TRD-004,How did the total expenditure of Bhubaneswar change between 2023-2024 and 2024-2025?
1905,ଆନ୍ଧ୍ରୁଆର ବର୍ଷ ଅନୁସାରେ ମୋଟ ଖର୍ଚ୍ଚ କେତେ?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,3/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1906,Compare the approved cost and expenditure theme-wise between 2023-24 and 2024-25.,TRD-002,TRD-002,TRD-002,3/3,TRD-002,Compare the approved cost and expenditure theme-wise between 2023-2024 and 2024-2025.
1907,Khordha ka activity completion rate saalon me kaise badla?,TRD-005,TRD-005,TRD-005,3/3,TRD-005,How has the activity completion rate of Khordha changed over the years?
1908,Andhrua ra barsa bhittire mota kharcha kete?,TRD-006,TRD-006,TRD-006,3/3,TRD-006,What is the year-wise total expenditure of Andhrua?
1909,Compare Laxmipur and Kalimela for 2024-25.,TRD-011,TRD-011,TRD-011,3/3,TRD-011,"Compare activity counts, expenditure and completion rates between Bhubaneswar and Barpali for 2024-2025."
1910,Compare the activities planned and started theme-wise between 2023-24 and 2024-25.,TRD-001,TRD-001,TRD-001,3/3,TRD-001,Compare the activities planned and started theme-wise between 2023-2024 and 2024-2025.
1951,Bhubaneswar ke kaun se GP me sabse zyada paisa bacha hua hai 2024-25 me?,DSS-006,DSS-006,DSS-006,3/3,DSS-006,Which GPs in Bhubaneswar have the largest unspent balance in 2024-2025 (1)?
1952,2024-2025 re Bhubaneswar re kaun chalu kama manjuri rashira 25 percent tharu kama kharcha karichi?,DSS-005,DSS-005,DSS-005,3/3,DSS-005,Which ongoing activities in Bhubaneswar have spent less than 25 percent of their sanctioned cost in 2024-2025 (10)?
1953,Which blocks in Khordha combine high pending sanctions with low expenditure in 2024-25?,DSS-002,DSS-002,DSS-002,3/3,DSS-002,Which blocks in Khordha combine high pending sanctions with low expenditure in 2024-2025 (10)?
1954,Andhrua me kaun se focus area ka approved cost zyada hai lekin completion 50 percent se kam hai 2024-25 me?,DSS-001,DSS-001,DSS-001,3/3,DSS-001,Which focus areas in Andhrua have high approved cost but completion below 50 percent in 2024-2025 (10)?
1955,Which asset sub-categories in Bhubaneswar show the highest repeat-maintenance frequency in 2024-2025?,DSS-003,DSS-003,DSS-003,3/3,DSS-003,Which asset sub-categories in Bhubaneswar show the highest repeat-maintenance frequency in a given year (1)?
1956,"Which GPs in Attabira could reach the next PAI grade with the smallest score improvement, and on which themes are they weakest?",DSS-004,DSS-004,DSS-004,3/3,DSS-004,"Which GPs in a given Block could reach the next PAI grade with the smallest score improvement, and on which themes are they weakest in a given year?"
1971,How many beneficiaries received benefits under Swachh Bharat Mission in Andhrua during 2024-25?,BEN-001,BEN-001,BEN-001,3/3,BEN-001,How many beneficiaries received benefits under a given Scheme in a given GP Name during a given Plan Year?
1972,Bhubaneswar block ke GPs me kitne beneficiary hain 2024-25 me?,CLARIFY:broad_question,CLARIFY:ambiguous_templates,CLARIFY:broad_question,2/3,CLARIFY:broad_question,(pipeline asked a clarifying question)
1973,What is the village-wise count of beneficiaries in Andhrua under NSAP for 2024-2025?,BEN-002,BEN-002,BEN-002,3/3,BEN-002,What is the village-wise count of beneficiaries in a given GP Name under a given Scheme for a given Plan Year?
1974,2024-2025 ରେ ଆନ୍ଧ୍ରୁଆରେ କେତେ ହିତାଧିକାରୀ ପେନସନ ପାଇଛନ୍ତି?,CLARIFY:broad_question,CLARIFY:broad_question,CLARIFY:broad_question,3/3,CLARIFY:broad_question,(pipeline asked a clarifying question)
1981,What is the weather forecast for Bhubaneswar tomorrow?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,3/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1982,Odisha panchayat election kab hoga?,CLARIFY:no_match,CLARIFY:no_match,CLARIFY:no_match,3/3,CLARIFY:no_match,(pipeline asked a clarifying question)
1983,Who is the current Sarpanch of Andhrua?,CLARIFY:broad_question,CLARIFY:broad_question,CLARIFY:broad_question,3/3,CLARIFY:broad_question,(pipeline asked a clarifying question)
1984,ଆଜି ଭୁବନେଶ୍ୱରରେ ପାଗ କିପରି ଅଛି?,CLARIFY:broad_question,CLARIFY:broad_question,CLARIFY:broad_question,3/3,CLARIFY:broad_question,(pipeline asked a clarifying question)
1985,Can you write me a leave application in Odia?,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,CLARIFY:ambiguous_templates,3/3,CLARIFY:ambiguous_templates,(pipeline asked a clarifying question)
1986,What is the MGNREGA wage rate in Odisha this year?,CLARIFY:ambiguous_templates,CLARIFY:no_match,CLARIFY:no_match,2/3,CLARIFY:no_match,(pipeline asked a clarifying question)
