table,column,role,cast,used_in_views,output_columns,fill_pct,n_distinct,exclusion_reason,note
gp_profile,education_total_higher_secondary_schools,meas,int,view4_gp_profile,schools_higher_secondary,100.0,2,,
gp_profile,education_total_pre_primary_schools,meas,int,view4_gp_profile,schools_pre_primary,100.0,9,,
gp_profile,education_total_primary_schools,meas,int,view4_gp_profile,schools_primary,100.0,8,,
gp_profile,education_total_secondary_schools,meas,int,view4_gp_profile,schools_secondary,100.0,5,,
gp_profile,general_no_of_anganwadi_centers,meas,int,view4_gp_profile,anganwadi_centres,100.0,12,,
gp_profile,general_no_of_destitue_homes_old_age_homes,X-deferred,int,,,100.0,3,"not in §12.4's view4 column list; §12.6.14 records that the column mixes a count of homes with a count of residents (values 0, 1, 110), so its meaning is not settled - see WPD11_REPORT §9",
gp_profile,general_no_of_households,meas,int,view4_gp_profile,households,100.0,19,,"26,132 sample-wide. Karuabahal reports 12 against 3,208 people (§12.6.11) - never a denominator in this pack"
gp_profile,general_no_of_job_card_holders,meas,int,view4_gp_profile,job_card_holders,100.0,18,,
gp_profile,general_no_of_shg,meas,int,view4_gp_profile,shgs,100.0,18,,
gp_profile,health_no_of_ayurvedic_clinics,meas,int,view4_gp_profile,ayurvedic_clinics,100.0,2,,
gp_profile,health_no_of_dispensary,meas,int,view4_gp_profile,dispensaries,100.0,2,,
gp_profile,health_no_of_health_sub_centers,meas,int,view4_gp_profile,health_sub_centres,100.0,3,,
gp_profile,health_no_of_primary_health_centers,meas,int,view4_gp_profile,primary_health_centres,100.0,3,,
gp_profile,health_no_of_well_being_centers,meas,int,view4_gp_profile,wellbeing_centres,100.0,4,,
gp_profile,infrastructure_no_of_atms,meas,int,view4_gp_profile,atms,100.0,5,,
gp_profile,infrastructure_no_of_banks_cooperative_banks,meas,int,view4_gp_profile,banks,100.0,5,,
gp_profile,infrastructure_no_of_bus_stands_with_drinking_water_facility,meas,int,view4_gp_profile,bus_stands_with_water,100.0,4,,
gp_profile,infrastructure_no_of_children_parks,meas,int,view4_gp_profile,children_parks,100.0,4,,
gp_profile,infrastructure_no_of_common_service_centers,meas,int,view4_gp_profile,common_service_centres,100.0,8,,the COUNT; the yes/no availability flag is the has_csc dimension
gp_profile,infrastructure_no_of_community_sanitary_complexes,meas,int,view4_gp_profile,community_sanitary_complexes,100.0,8,,
gp_profile,infrastructure_no_of_cooperative_seed_centers,meas,int,view4_gp_profile,seed_centres,100.0,3,,
gp_profile,infrastructure_no_of_disaster_rescue_centers,meas,int,view4_gp_profile,disaster_rescue_centres,100.0,3,,
gp_profile,infrastructure_no_of_drinking_water_sources,meas,int,view4_gp_profile,drinking_water_sources,100.0,15,,
gp_profile,infrastructure_no_of_household_toilets,meas,int,view4_gp_profile,household_toilets,100.0,17,,"exceeds households in 5 GPs (§12.6.12) - a count, never a materialised coverage rate"
gp_profile,infrastructure_no_of_households_connected_to_tap_water,meas,int,view4_gp_profile,households_tap_water,100.0,18,,"exceeds households in 2 GPs, Chikilli and Haldikudar (§12.6.12) - a count, never a materialised coverage rate"
gp_profile,infrastructure_no_of_rural_library,meas,int,view4_gp_profile,rural_libraries,100.0,3,,
gp_profile,infrastructure_no_of_solid_waste_managements_centers,meas,int,view4_gp_profile,solid_waste_centres,100.0,7,,
gp_profile,panchayat_area_no_of_revenue_villages,meas,int,view4_gp_profile,revenue_villages,100.0,11,,
gp_profile,panchayat_area_no_of_villages_mapped_with_lgd,meas,int,view4_gp_profile,villages_mapped_lgd,100.0,10,,
gp_profile,panchayat_area_no_of_wards_sansads_of_the_panchayat,meas,int,view4_gp_profile,wards,100.0,9,,
gp_profile,panchayat_area_total_area,X-unreliable,float,,,100.0,20,"1.11 to 3,000 across 20 GPs with no consistent unit - three values are two orders of magnitude off the rest (§12.6.10). No band is built on it",cast float in sources.yaml: the cast records what the column claims to be
gp_profile,panchayat_learning_centre_details_award_name,X-sparse,varchar,,,100.0,2,PLC detail: populated only where a learning centre exists (1 of 20),
gp_profile,panchayat_learning_centre_details_biometric_devices,X-sparse,varchar,,,100.0,3,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_do_the_plc_contribute_in_generating_gp_own_source_revenue,X-sparse,varchar,,,100.0,2,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_funding_information,X-sparse,varchar,,,100.0,2,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_gp_received_any_award,X-sparse,varchar,,,100.0,3,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_internet_wi_fi_availability,X-sparse,varchar,,,100.0,2,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_library_facility,X-sparse,varchar,,,100.0,2,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_meeting_room_available,X-sparse,varchar,,,100.0,2,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_number_of_computers_laptops,X-sparse,varchar,,,100.0,2,PLC detail: populated on the 2 GPs with a learning centre,carries the literal 'NA' token on the other 18 - left uncast in sources.yaml
gp_profile,panchayat_learning_centre_details_other_digital_tools,X-sparse,varchar,,,100.0,2,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_panchayat_learning_centre_available,dim,varchar,view1_activity_lifecycle; view2_geo_month_cube; view3_gp_performance; view4_gp_profile,plc_available,100.0,2,,"18 No / 2 Yes - materialised on every view, MINED STATEWIDE ONLY (§12.3), the §9.7 sparse-dimension shape"
gp_profile,panchayat_learning_centre_details_panchayat_manuals_handbooks,X-sparse,varchar,,,100.0,2,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_plc_located_in_panchayat_office_premises,X-sparse,varchar,,,100.0,2,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_printers_scanners,X-sparse,varchar,,,100.0,2,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_projector_smart_tv,X-sparse,varchar,,,100.0,2,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_seating_capacity,X-sparse,varchar,,,100.0,3,PLC detail: populated on the 2 GPs with a learning centre,carries the literal 'NA' token on the other 18 - left uncast in sources.yaml
gp_profile,panchayat_learning_centre_details_sound_system,X-sparse,varchar,,,100.0,2,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_success_stories_documented,X-sparse,varchar,,,100.0,3,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_vc_facility_available,X-sparse,varchar,,,100.0,2,PLC detail: populated on the 2 GPs with a learning centre,
gp_profile,panchayat_learning_centre_details_year_of_establishment,X-sparse,varchar,,,100.0,3,PLC detail: populated on the 2 GPs with a learning centre,carries the literal 'NA' token on the other 18 - left uncast in sources.yaml
gp_profile,sports_no_of_badminton_court,meas,int,view4_gp_profile,sports_courts,100.0,4,,the three disciplines are summed into one count (§12.4)
gp_profile,sports_no_of_football_court,meas,int,view4_gp_profile,sports_courts,100.0,5,,the three disciplines are summed into one count (§12.4)
gp_profile,sports_no_of_volleyball_court,meas,int,view4_gp_profile,sports_courts,100.0,6,,the three disciplines are summed into one count (§12.4)
